coef,est,se,type,naive,coefNum
damageQuants,16.479298641872134,26.89724469483938,In,TRUE,2
damageQuants,86.88724964105818,28.149457615800348,In,TRUE,3
damageQuants,36.32167561481522,33.78389810375578,In,TRUE,4
damageQuants,111.50930747212915,49.83013264715106,In,TRUE,5
damageQuants,406.09354183964956,52.46750934872312,In,TRUE,6
NFIPQuants,-34.399046010218925,28.992664874094867,In,TRUE,2
NFIPQuants,-29.321335828113348,30.383285379499725,In,TRUE,3
NFIPQuants,45.71258500756259,36.156506880901006,In,TRUE,4
NFIPQuants,-55.89254341039148,51.915789789207075,In,TRUE,5
NFIPQuants,-0.5416178377797113,55.794356886369606,In,TRUE,6
popQuants,11.547402359919868,44.15929990989929,In,TRUE,2
popQuants,16.64176684511085,52.37583204507023,In,TRUE,3
popQuants,76.9587097460285,63.52643169878025,In,TRUE,4
popQuants,-26.61098675044253,72.498791986064,In,TRUE,5
densityQuants,13.396423974831981,44.1978963054013,In,TRUE,2
densityQuants,4.183812181892998,53.66938364412748,In,TRUE,3
densityQuants,71.44164182349817,67.40120497689531,In,TRUE,4
densityQuants,239.2770567283828,74.69359689704109,In,TRUE,5
pctBlackQuants,15.01672425335333,71.24787496277106,In,TRUE,2
pctBlackQuants,102.92943854667793,88.43039645853064,In,TRUE,3
pctBlackQuants,-52.8809500604929,106.4241344590374,In,TRUE,4
pctBlackQuants,182.0862127779392,144.90042198557512,In,TRUE,5
pctOldQuants,5.197200825131582,36.21106894664133,In,TRUE,2
pctOldQuants,-18.943732635340524,38.41972340622153,In,TRUE,3
pctOldQuants,-21.175265785779697,40.82191945356812,In,TRUE,4
pctOldQuants,48.02057295812005,45.09679466179548,In,TRUE,5
pctWhiteQuants,250.1086188366293,96.29397899128425,In,TRUE,2
pctWhiteQuants,74.88897887800978,112.80071049081606,In,TRUE,3
pctWhiteQuants,124.84330860419936,124.55047461235964,In,TRUE,4
pctWhiteQuants,142.88201782779478,142.67869369808005,In,TRUE,5
SVIQuants,19.78969414205429,47.970039798921356,In,TRUE,2
SVIQuants,99.68743731301608,50.64313789338464,In,TRUE,3
SVIQuants,17.462928024343356,54.98186883218008,In,TRUE,4
SVIQuants,80.50696684256373,56.913432774056254,In,TRUE,5
damageQuants,31.244609612327853,47.612482542418476,Out,TRUE,2
damageQuants,73.91428228326265,49.5870758746668,Out,TRUE,3
damageQuants,1.706700515601666,59.48183556563848,Out,TRUE,4
damageQuants,-109.16176593247923,87.6950347287712,Out,TRUE,5
damageQuants,655.3495829820919,92.20843684250212,Out,TRUE,6
NFIPQuants,-35.399623116664436,50.7230852660536,Out,TRUE,2
NFIPQuants,-21.902758051445346,52.6278860323753,Out,TRUE,3
NFIPQuants,-20.30758686511723,62.294936967040805,Out,TRUE,4
NFIPQuants,-168.0695727147521,90.09442970305582,Out,TRUE,5
NFIPQuants,274.0105998417919,96.6347502163046,Out,TRUE,6
popQuants,39.937361497028505,70.55989227003555,Out,TRUE,2
popQuants,74.14087413409997,82.51926185293061,Out,TRUE,3
popQuants,80.44831502826938,100.44712872453205,Out,TRUE,4
popQuants,120.65259085507353,114.78291740073082,Out,TRUE,5
densityQuants,-35.65159287158232,71.07491612404583,Out,TRUE,2
densityQuants,-17.120079458579838,84.63425239433637,Out,TRUE,3
densityQuants,17.589042605580637,106.94274345408695,Out,TRUE,4
densityQuants,185.75826102081646,118.03770544465686,Out,TRUE,5
pctBlackQuants,86.66943404052068,119.84186141903476,Out,TRUE,2
pctBlackQuants,129.71862379121566,148.5921733407126,Out,TRUE,3
pctBlackQuants,372.36380346641846,179.52027957949753,Out,TRUE,4
pctBlackQuants,468.0691814764233,246.1221425580812,Out,TRUE,5
pctOldQuants,91.55351839176859,60.52963869249591,Out,TRUE,2
pctOldQuants,90.63210612346383,62.98587947894532,Out,TRUE,3
pctOldQuants,27.42229710097181,65.95598705195705,Out,TRUE,4
pctOldQuants,86.50571255674923,71.01035335527443,Out,TRUE,5
pctWhiteQuants,92.3705646849733,165.30624277853846,Out,TRUE,2
pctWhiteQuants,271.1319399854581,192.7048390969259,Out,TRUE,3
pctWhiteQuants,336.08245931974966,212.08465924771326,Out,TRUE,4
pctWhiteQuants,395.11555537130374,243.04789789004747,Out,TRUE,5
SVIQuants,-21.198401071602756,73.08811728083803,Out,TRUE,2
SVIQuants,-19.615537693464873,77.43957339503888,Out,TRUE,3
SVIQuants,-21.543265638366595,84.15899891425374,Out,TRUE,4
SVIQuants,103.46496473369072,87.24731520300307,Out,TRUE,5
damageQuants,29.810344616390886,74.4150125865801,Out,FALSE,2
